time,Axin
0,1
10,3
20,14
30,28
40,40
50,51
60,72
70,90
80,112
90,128
100,157
110,179
120,200
130,221
140,246
150,273
160,288
170,309
180,338
190,362
200,380
210,404
220,429
230,458
240,477
250,510
260,534
270,560
280,583
290,617
300,633
310,657
320,688
330,707
340,726
350,741
360,759
370,789
380,813
390,831
400,853
410,874
420,896
430,925
440,950
450,971
460,987
470,1009
480,1036
490,1057
500,1080
510,1106
520,1124
530,1148
540,1174
550,1196
560,1216
570,1237
580,1256
590,1277
600,1296
610,1312
620,1331
630,1352
640,1375
650,1407
660,1431
670,1455
680,1471
690,1498
700,1520
710,1548
720,1573
730,1590
740,1618
750,1637
760,1664
770,1692
780,1713
790,1736
800,1759
810,1784
820,1805
830,1827
840,1844
850,1876
860,1900
870,1918
880,1938
890,1954
900,1974
910,1996
920,2012
930,2035
940,2056
950,2080
960,2098
970,2123
980,2160
990,2181
1000,2202
1010,2235
1020,2258
1030,2277
1040,2300
1050,2330
1060,2350
1070,2369
1080,2389
1090,2412
1100,2431
1110,2449
1120,2476
1130,2501
1140,2525
1150,2550
1160,2576
1170,2597
1180,2618
1190,2646
1200,2670
1210,2688
1220,2706
1230,2724
1240,2745
1250,2767
1260,2792
1270,2818
1280,2837
1290,2856
1300,2871
1310,2889
1320,2902
1330,2921
1340,2941
1350,2964
1360,2981
1370,3001
1380,3030
1390,3048
1400,3061
1410,3091
1420,3112
1430,3127
1440,3150
